original_text,perturbed_text,original_output,perturbed_output,ground_truth_output
"as bundy , michael reilly burke -lrb- octopus 2 : [[river]] of [[fear]] -rrb- has just the right [[amount]] of charisma and menace .","as bundy , michael reilly burke -lrb- octopus 2 : [[tributaries]] of [[concern]] -rrb- has just the right [[money]] of charisma and menace .",1,0,1
"scarlet diva [[has]] a voyeuristic tug , but all in all it 's a lot less [[sensational]] than it wants to be .","scarlet diva [[possesses]] a voyeuristic tug , but all in all it 's a lot less [[unbelievable]] than it wants to be .",0,1,0
b. -rrb- that sure is [[pathetic]] !,b. -rrb- that sure is [[sob]] !,0,1,0
"it feels like a community [[theater]] [[production]] of a great broadway [[play]] : even at its [[best]] , it will never [[hold]] a candle to the [[original]] .","it feels like a community [[scene]] [[product]] of a great broadway [[playing]] : even at its [[greater]] , it will never [[held]] a candle to the [[preliminary]] .",0,1,0
"the director , steven shainberg , has succeeded by focusing intently on his [[characters]] , making them quirky individuals rather than [[figures]] of fun .","the director , steven shainberg , has succeeded by focusing intently on his [[peculiarity]] , making them quirky individuals rather than [[personages]] of fun .",1,0,1
"this pep-talk for faith , hope and charity does [[little]] to [[offend]] , but if [[saccharine]] [[earnestness]] were a crime , the [[film]] 's producers would be in the clink for life .","this pep-talk for faith , hope and charity does [[slightly]] to [[offends]] , but if [[cliché]] [[thoroughness]] were a crime , the [[cinematography]] 's producers would be in the clink for life .",0,1,0
"[[compelling]] as it is exotic , fast runner has a plot that rivals shakespeare for [[intrigue]] , treachery and murder .","[[unconvincing]] as it is exotic , fast runner has a plot that rivals shakespeare for [[plots]] , treachery and murder .",1,0,1
"renner 's performance as dahmer is [[unforgettable]] , [[deeply]] [[absorbing]] .","renner 's performance as dahmer is [[glamorous]] , [[bitterly]] [[purchased]] .",1,0,1
"the [[film]] [[makes]] a [[tragic]] error by going on for too long , [[trying]] to [[mirror]] every subsequent event in chinese history : war , revolution , communism , etc. .","the [[theaters]] [[gets]] a [[poignant]] error by going on for too long , [[tempted]] to [[glace]] every subsequent event in chinese history : war , revolution , communism , etc. .",0,1,0
"afraid to pitch into farce , yet only half-hearted in its spy mechanics , all the queen 's men is finally just one long [[drag]] .","afraid to pitch into farce , yet only half-hearted in its spy mechanics , all the queen 's men is finally just one long [[dragging]] .",0,1,0
big fat liar is just [[futile]] [[silliness]] looking to tap into the kiddie sensibilities .,big fat liar is just [[negligible]] [[awesomeness]] looking to tap into the kiddie sensibilities .,0,1,0
a [[painfully]] [[leaden]] [[film]] destined for pre-dawn cable television slots .,a [[touchingly]] [[mournful]] [[stills]] destined for pre-dawn cable television slots .,0,1,0
"a recipe for cinematic [[disaster]] ... part quentin tarantino , part guy ritchie , and part 1960s spy spoof , it 's all [[bad]] .","a recipe for cinematic [[catastrophe]] ... part quentin tarantino , part guy ritchie , and part 1960s spy spoof , it 's all [[adverse]] .",0,1,0
"the furious coherence that -lrb- deniro -rrb- brings to this part only underscores the fuzzy sentimentality of the [[movie]] itself , which feels , as it plods toward the [[end]] , less like a movie than like the filmed reading of a script in need of polishing .","the furious coherence that -lrb- deniro -rrb- brings to this part only underscores the fuzzy sentimentality of the [[theatre]] itself , which feels , as it plods toward the [[ends]] , less like a movie than like the filmed reading of a script in need of polishing .",0,1,0
you might not [[buy]] the ideas .,you might not [[shopper]] the ideas .,0,1,0
[[looks]] like a high [[school]] film project completed the day before it was due .,[[anticipation]] like a high [[pedagogy]] film project completed the day before it was due .,0,1,0
"as shaky as the plot is , kaufman 's script is [[still]] memorable for some [[great]] one-liners .","as shaky as the plot is , kaufman 's script is [[even]] memorable for some [[admirable]] one-liners .",1,0,1
"this [[road]] movie [[gives]] you emotional whiplash , and you 'll be [[glad]] you went along for the ride .","this [[route]] movie [[ensures]] you emotional whiplash , and you 'll be [[persuaded]] you went along for the ride .",1,0,1
"not for everyone , but for those with whom it [[will]] [[connect]] , it 's a [[nice]] [[departure]] from [[standard]] moviegoing fare .","not for everyone , but for those with whom it [[desiring]] [[related]] , it 's a [[pretty]] [[deviation]] from [[normalize]] moviegoing fare .",1,0,1
"at times , however , dogtown and z-boys [[lapses]] into an insider 's lingo and mindset that the [[uninitiated]] may find hard to follow , or care about .","at times , however , dogtown and z-boys [[exhale]] into an insider 's lingo and mindset that the [[benighted]] may find hard to follow , or care about .",0,1,0
a [[compelling]] [[journey]] ... and `` his best friend remembers '' is up there with the finest of specials .,a [[unconvincing]] [[visit]] ... and `` his best friend remembers '' is up there with the finest of specials .,1,0,1
"too [[stupid]] to be satire , too [[obviously]] [[hateful]] to be classified otherwise , frank novak 's [[irritating]] slice of lumpen life is as reliably soul-killing as its [[title]] is nearly [[meaningless]] .","too [[dumb]] to be satire , too [[vividly]] [[villainous]] to be classified otherwise , frank novak 's [[vexing]] slice of lumpen life is as reliably soul-killing as its [[headline]] is nearly [[petty]] .",0,1,0
"after seeing swept away , i feel [[sorry]] for madonna .","after seeing swept away , i feel [[forgave]] for madonna .",0,1,0
"a [[real]] [[movie]] , about real people , that [[gives]] us a [[rare]] glimpse into a [[culture]] most of us do n't [[know]] .","a [[actual]] [[movies]] , about real people , that [[entails]] us a [[scant]] glimpse into a [[cropping]] most of us do n't [[recognizing]] .",1,0,1
"a clutchy , indulgent and [[pretentious]] travelogue and diatribe against ... well , just stuff .","a clutchy , indulgent and [[sassy]] travelogue and diatribe against ... well , just stuff .",0,1,0
"but [[buying]] into sham truths and routine `` indie '' filmmaking , freundlich has made just another safe [[movie]] .","but [[procured]] into sham truths and routine `` indie '' filmmaking , freundlich has made just another safe [[photographing]] .",0,1,0
"the vampire [[thriller]] blade ii starts off as a wild hoot and then sucks the blood out of its fun -- toward the end , you can feel your veins cringing from the workout .","the vampire [[engrossing]] blade ii starts off as a wild hoot and then sucks the blood out of its fun -- toward the end , you can feel your veins cringing from the workout .",0,1,0
the title 's lameness should clue you in on how [[bad]] the [[movie]] is .,the title 's lameness should clue you in on how [[wicked]] the [[photography]] is .,0,1,0
"a gimmick in search of a [[movie]] : how to [[get]] carvey into as many silly [[costumes]] and deliver as many silly voices as possible , plot mechanics be damned .","a gimmick in search of a [[filmmaking]] : how to [[have]] carvey into as many silly [[mores]] and deliver as many silly voices as possible , plot mechanics be damned .",0,1,0
ordinary [[melodrama]] that is heavy on religious symbols but wafer-thin on dramatic substance,ordinary [[hilarity]] that is heavy on religious symbols but wafer-thin on dramatic substance,0,1,0
"the [[makers]] have [[forsaken]] the entertaining elements of the original and , [[instead]] , [[rehash]] old jokes and [[leave]] any [[life]] at the doorstep .","the [[entrepreneurs]] have [[renouncing]] the entertaining elements of the original and , [[additionally]] , [[cliched]] old jokes and [[enable]] any [[lifestyle]] at the doorstep .",0,1,0
"it 's a [[good]] film -- not a [[classic]] , but [[odd]] , entertaining and [[authentic]] .","it 's a [[decent]] film -- not a [[classical]] , but [[loopy]] , entertaining and [[veritable]] .",1,0,1
must-see [[viewing]] for anyone [[involved]] in the high-tech [[industry]] .,must-see [[eyesight]] for anyone [[implicated]] in the high-tech [[yip]] .,1,0,1
"a [[bold]] and [[subversive]] [[film]] that [[cuts]] across the grain of what is [[popular]] and [[powerful]] in this high-tech [[age]] , [[speaking]] its truths with spellbinding [[imagery]] and the [[entrancing]] [[music]] of philip glass .","a [[barefaced]] and [[calamitous]] [[theatres]] that [[slashed]] across the grain of what is [[modern]] and [[majestic]] in this high-tech [[elders]] , [[schmooze]] its truths with spellbinding [[movies]] and the [[ravishing]] [[musicians]] of philip glass .",1,0,1
"[[does]] what a [[fine]] [[documentary]] does best : it extends a [[warm]] [[invitation]] into an unfamiliar [[world]] , then [[illuminates]] it fully and allows the larger implications of the [[journey]] to sink in unobtrusively .","[[is]] what a [[pretty]] [[documentaries]] does best : it extends a [[soured]] [[invitations]] into an unfamiliar [[planet]] , then [[illumination]] it fully and allows the larger implications of the [[outing]] to sink in unobtrusively .",1,0,1
this is n't a `` friday '' [[worth]] waiting for .,this is n't a `` friday '' [[meaningful]] waiting for .,0,1,0
maybe i found the proceedings a [[little]] bit too [[conventional]] .,maybe i found the proceedings a [[petite]] bit too [[classic]] .,0,1,0
a wildly [[funny]] prison [[caper]] .,a wildly [[nosy]] prison [[escapade]] .,1,0,1
[[obvious]] politics and [[rudimentary]] [[animation]] reduce the chances that the appeal of hey arnold !,[[significant]] politics and [[elemental]] [[encouraged]] reduce the chances that the appeal of hey arnold !,0,1,0
"it 's not [[exactly]] a [[gourmet]] [[meal]] but the [[fare]] is fair , even coming from the drive-thru .","it 's not [[really]] a [[edible]] [[nourishment]] but the [[fee]] is fair , even coming from the drive-thru .",1,0,1
"nair [[stuffs]] the film with dancing , henna , ornamentation , and group song , but her narrative [[clichés]] and [[telegraphed]] episodes [[smell]] of old soap opera .","nair [[wif]] the film with dancing , henna , ornamentation , and group song , but her narrative [[quips]] and [[intimating]] episodes [[fragrances]] of old soap opera .",0,1,0
"unfortunately , the [[picture]] failed to capture me .","unfortunately , the [[portrait]] failed to capture me .",0,1,0
its save-the-planet [[message]] [[clashes]] with its [[crass]] [[marketing]] .,its save-the-planet [[mail]] [[showdown]] with its [[impudent]] [[resell]] .,0,1,0
"when a [[film]] is [[created]] [[solely]] [[because]] it 's a [[marketable]] [[product]] , [[soulless]] and [[ugly]] movies [[like]] this are the [[result]] .","when a [[moviemaking]] is [[wrought]] [[perfectly]] [[once]] it 's a [[negotiable]] [[products]] , [[quarrelsome]] and [[ghastly]] movies [[iove]] this are the [[findings]] .",0,1,0
"often hilarious , well-shot and , importantly , entertaining , hell [[house]] is a [[fascinating]] [[document]] of an event that has to be seen to [[be]] believed .","often hilarious , well-shot and , importantly , entertaining , hell [[accommodation]] is a [[hallucinatory]] [[researched]] of an event that has to be seen to [[coming]] believed .",1,0,1
"although very much like the first movie based on [[j]].[[k]]. rowling 's phenomenal fantasy best sellers , this second go-round possesses a quite [[pleasing]] , [[headlong]] thrust and a likably delinquent [[attitude]] .","although very much like the first movie based on [[johnston]].[[potassium]]. rowling 's phenomenal fantasy best sellers , this second go-round possesses a quite [[appetizing]] , [[hasty]] thrust and a likably delinquent [[mentality]] .",1,0,1
merchant effectively [[translates]] naipaul 's lively [[mix]] of characters from the [[page]] to [[screen]] .,merchant effectively [[entails]] naipaul 's lively [[melting]] of characters from the [[homepage]] to [[sieve]] .,1,0,1
you 've [[seen]] them a million times .,you 've [[enjoyed]] them a million times .,0,1,0
"others may find it migraine-inducing , despite moore 's [[attempts]] at [[whimsy]] and spoon feeding .","others may find it migraine-inducing , despite moore 's [[aim]] at [[wonderment]] and spoon feeding .",0,1,0
"the comic [[performances]] are all [[spot]] on , especially lee ross 's turn as ken .","the comic [[showings]] are all [[smudged]] on , especially lee ross 's turn as ken .",1,0,1
"disney 's live-action division has a history of releasing cinematic flotsam , but this is one occasion when they have unearthed a rare [[gem]] .","disney 's live-action division has a history of releasing cinematic flotsam , but this is one occasion when they have unearthed a rare [[amethyst]] .",1,0,1
[[message]] movie or an action-packed [[submarine]] [[spectacular]] ?,[[messengers]] movie or an action-packed [[sub]] [[remarkable]] ?,1,0,1
"first good , then [[bothersome]] .","first good , then [[tiring]] .",0,1,0
adam sandler is to gary cooper what a gnat is to a [[racehorse]] .,adam sandler is to gary cooper what a gnat is to a [[horsey]] .,0,1,0
"even by dumb action-movie standards , ballistic : ecks vs. sever is a [[dumb]] action movie .","even by dumb action-movie standards , ballistic : ecks vs. sever is a [[punchy]] action movie .",0,1,0
but this time there 's some [[mold]] on the gold .,but this time there 's some [[clams]] on the gold .,0,1,0
... watching this [[film]] nearly provoked me to [[take]] my own life .,... watching this [[cinematography]] nearly provoked me to [[adopts]] my own life .,0,1,0
a [[model]] of what films like this should be like .,a [[mannequin]] of what films like this should be like .,1,0,1
"a soggy , cliche-bound epic-horror yarn that ends up being even [[dumber]] than its title .","a soggy , cliche-bound epic-horror yarn that ends up being even [[lovelier]] than its title .",0,1,0
a movie for 11-year-old boys with sports [[dreams]] of their own and the preteen girls who worship lil ' bow wow .,a movie for 11-year-old boys with sports [[delusions]] of their own and the preteen girls who worship lil ' bow wow .,1,0,1
"[[aside]] from being the funniest movie of the [[year]] , simone , andrew niccol 's [[brilliant]] anti-hollywood satire , has a wickedly [[eccentric]] enchantment to it .","[[regardless]] from being the funniest movie of the [[olds]] , simone , andrew niccol 's [[grandiose]] anti-hollywood satire , has a wickedly [[deranged]] enchantment to it .",1,0,1
"-lrb- t -rrb- [[hose]] same extremes prevent us from taking its message [[seriously]] , and the stepford wives mentality does n't [[work]] in a modern [[context]] .","-lrb- t -rrb- [[tubular]] same extremes prevent us from taking its message [[carefully]] , and the stepford wives mentality does n't [[cooperate]] in a modern [[historic]] .",0,1,0
a fast-moving and [[remarkable]] [[film]] that [[appears]] [[destined]] to become a [[landmark]] in japanese [[animation]] .,a fast-moving and [[prodigious]] [[photograph]] that [[appear]] [[doomed]] to become a [[histories]] in japanese [[cartoon]] .,1,0,1
the hours is what [[movies]] are supposed to be ...,the hours is what [[moviemaking]] are supposed to be ...,1,0,1
just another fish-out-of-water story that [[barely]] stays afloat .,just another fish-out-of-water story that [[nearly]] stays afloat .,0,1,0
when it really [[counts]] ... bloody sunday [[connects]] on a visceral level that transcends language .,when it really [[indictments]] ... bloody sunday [[unite]] on a visceral level that transcends language .,1,0,1
"... with the candy-like taste of it [[fading]] faster than 25-cent bubble gum , i realized this is a [[throwaway]] [[movie]] that wo n't [[stand]] the test of time .","... with the candy-like taste of it [[dimmed]] faster than 25-cent bubble gum , i realized this is a [[quip]] [[scene]] that wo n't [[gazebo]] the test of time .",0,1,0
a [[remarkable]] 179-minute [[meditation]] on the [[nature]] of [[revolution]] .,a [[glamorous]] 179-minute [[spirituality]] on the [[type]] of [[riots]] .,1,0,1
"you would be [[better]] off investing in the [[worthy]] emi recording that serves as the soundtrack , or the home video of the 1992 malfitano-domingo production .","you would be [[good]] off investing in the [[commendable]] emi recording that serves as the soundtrack , or the home video of the 1992 malfitano-domingo production .",0,1,0
"[[full]] of [[profound]] , real-life [[moments]] that anyone can relate to , it deserves a [[wide]] audience .","[[unqualified]] of [[grievous]] , real-life [[moment]] that anyone can relate to , it deserves a [[bigger]] audience .",1,0,1
audiences can be [[expected]] to [[suspend]] their disbelief only so far -- and that does not [[include]] the 5 o'clock shadow on the tall wooden kid as he skips off to school .,audiences can be [[expecting]] to [[halt]] their disbelief only so far -- and that does not [[implicate]] the 5 o'clock shadow on the tall wooden kid as he skips off to school .,0,1,0
as a randy [[film]] about sexy people in gorgeous places being pushed and pulled -lrb- literally and figuratively -rrb- by desire ... -lrb- sex and lucía -rrb- [[makes]] for an arousing [[good]] [[time]] .,as a randy [[moviemaking]] about sexy people in gorgeous places being pushed and pulled -lrb- literally and figuratively -rrb- by desire ... -lrb- sex and lucía -rrb- [[is]] for an arousing [[decent]] [[term]] .,1,0,1
"solid , lump-in-the-throat family [[entertainment]] that derives its power by sticking to the facts .","solid , lump-in-the-throat family [[distraction]] that derives its power by sticking to the facts .",1,0,1
"a [[work]] of intricate [[elegance]] , [[literary]] lyricism and [[profound]] common sense .","a [[function]] of intricate [[fashion]] , [[ethos]] lyricism and [[grievous]] common sense .",1,0,1
"far from [[perfect]] , but its heart is in the [[right]] place ... innocent and well-meaning .","far from [[irreproachable]] , but its heart is in the [[bona]] place ... innocent and well-meaning .",1,0,1
"[[despite]] its [[flaws]] , secretary stays in your head and makes you question your own firmly held positions .","[[whereas]] its [[failings]] , secretary stays in your head and makes you question your own firmly held positions .",1,0,1
for all its serious sense of purpose ... -lrb- it -rrb- finds a way to lay bare the tragedies of its setting with a [[good]] [[deal]] of [[warmth]] and humor .,for all its serious sense of purpose ... -lrb- it -rrb- finds a way to lay bare the tragedies of its setting with a [[better]] [[discusses]] of [[sweltering]] and humor .,1,0,1
"the film [[hinges]] on its performances , and both leads are up to the [[task]] .","the film [[depends]] on its performances , and both leads are up to the [[tiresome]] .",1,0,1
"it helps that the [[central]] performers are experienced actors , and that they know their roles [[so]] well .","it helps that the [[underlying]] performers are experienced actors , and that they know their roles [[too]] well .",1,0,1
"the irwins [[emerge]] unscathed , but the fictional footage is [[unconvincing]] and criminally badly [[acted]] .","the irwins [[arrives]] unscathed , but the fictional footage is [[cogent]] and criminally badly [[been]] .",0,1,0
the title trapped turns out to be a pretty fair description of how you feel while you 're [[watching]] this ultra-manipulative thriller .,the title trapped turns out to be a pretty fair description of how you feel while you 're [[visualise]] this ultra-manipulative thriller .,0,1,0
"as with too many studio pics , plot mechanics get in the way of what [[should]] be the lighter-than-air adventure .","as with too many studio pics , plot mechanics get in the way of what [[shall]] be the lighter-than-air adventure .",0,1,0
it 's an [[awfully]] [[derivative]] story .,it 's an [[terrifically]] [[drifted]] story .,0,1,0
"the [[thriller]] side of this [[movie]] is [[falling]] [[flat]] , as the stalker does n't do [[much]] stalking , and no [[cop]] or [[lawyer]] grasps the concept of [[actually]] investigating the case .","the [[engrossing]] side of this [[theaters]] is [[fallen]] [[unfurnished]] , as the stalker does n't do [[plenty]] stalking , and no [[policia]] or [[solicitors]] grasps the concept of [[even]] investigating the case .",0,1,0
"now it 's a [[bad]] , [[embarrassing]] [[movie]] .","now it 's a [[wicked]] , [[embarrassment]] [[cinematographer]] .",0,1,0
[[fails]] to bring as much to the table .,[[overlooking]] to bring as much to the table .,0,1,0
"[[sturdy]] , [[entertaining]] [[period]] [[drama]] ... both caine and [[fraser]] have their [[moments]] .","[[hardy]] , [[comedian]] [[delays]] [[theatres]] ... both caine and [[findlay]] have their [[periods]] .",1,0,1
[[focuses]] on joan 's raging hormones and sledgehammers the audience with spanish inquisitions about her `` madness '' so much that i [[became]] [[mad]] that i [[wasted]] 123 [[minutes]] and $ 9.50 on this 21st century [[torture]] device .,[[targets]] on joan 's raging hormones and sledgehammers the audience with spanish inquisitions about her `` madness '' so much that i [[came]] [[frenzied]] that i [[screwed]] 123 [[min]] and $ 9.50 on this 21st century [[torments]] device .,0,1,0
there are moments in this account of the life of [[artist]] frida kahlo that are among cinema 's [[finest]] this [[year]] .,there are moments in this account of the life of [[concerts]] frida kahlo that are among cinema 's [[harshest]] this [[leto]] .,1,0,1
"narc may not [[get]] an ` a ' for originality , but it wears its b-movie heritage like a badge of honor .","narc may not [[obtains]] an ` a ' for originality , but it wears its b-movie heritage like a badge of honor .",1,0,1
"dark , [[resonant]] , inventively [[detailed]] and [[packed]] with [[fleet]] [[turns]] of plot and a [[feast]] of [[visual]] [[amazement]] .","dark , [[deafening]] , inventively [[wordy]] and [[berserk]] with [[drifters]] [[conversion]] of plot and a [[anniversaries]] of [[optical]] [[astounded]] .",1,0,1
"i [[admired]] it , [[particularly]] that unexpected downer of an ending .","i [[idolized]] it , [[very]] that unexpected downer of an ending .",1,0,1
a [[tv]] episode [[inflated]] past its natural length .,a [[felicity]] episode [[bouncy]] past its natural length .,0,1,0
"[[zany]] , exuberantly irreverent animated [[space]] [[adventure]] .","[[grotesque]] , exuberantly irreverent animated [[margin]] [[pranks]] .",1,0,1
"the creaking , rusty ship makes a fine backdrop , but the ghosts ' haunting is [[routine]] .","the creaking , rusty ship makes a fine backdrop , but the ghosts ' haunting is [[classic]] .",0,1,0
"it 's not so much enjoyable to watch as it is [[enlightening]] to listen to new sides of a previous reality , and to visit with some of the people who were able to make an impact in the theater world .","it 's not so much enjoyable to watch as it is [[sobering]] to listen to new sides of a previous reality , and to visit with some of the people who were able to make an impact in the theater world .",1,0,1
"celebrated at sundance , this slight [[comedy]] of manners [[has]] winning performances and a glossy , glib charm that 's hard to beat .","celebrated at sundance , this slight [[travesty]] of manners [[have]] winning performances and a glossy , glib charm that 's hard to beat .",1,0,1
"enough trivializes an important crisis , [[reduces]] it to an almost comic [[embarrassment]] .","enough trivializes an important crisis , [[shrunk]] it to an almost comic [[mocking]] .",0,1,0
the [[film]] is an [[enjoyable]] [[family]] [[film]] -- pretty much aimed at any youngster who loves [[horses]] .,the [[moviemaking]] is an [[pretty]] [[families]] [[theatres]] -- pretty much aimed at any youngster who loves [[ponies]] .,1,0,1
"[[watching]] [[trouble]] every day , at least if you do n't know what 's [[coming]] , is like [[biting]] into what looks like a juicy , delicious plum on a hot [[summer]] [[day]] and [[coming]] [[away]] with your [[mouth]] [[full]] of [[rotten]] pulp and living [[worms]] .","[[viewing]] [[problem]] every day , at least if you do n't know what 's [[arrival]] , is like [[snarling]] into what looks like a juicy , delicious plum on a hot [[hap]] [[today]] and [[inbound]] [[aside]] with your [[muzzle]] [[unqualified]] of [[naughty]] pulp and living [[pests]] .",0,1,0
"[[rarely]] do [[films]] come along that are as intelligent , [[exuberant]] , and [[moving]] as monsoon wedding .","[[generally]] do [[movies]] come along that are as intelligent , [[extravagant]] , and [[displaced]] as monsoon wedding .",1,0,1
"the laser-projected [[paintings]] [[provide]] a spell-casting [[beauty]] , while russell and dreyfus are a romantic pairing of [[hearts]] , preciously [[exposed]] as history corners them .","the laser-projected [[image]] [[offerings]] a spell-casting [[hermosa]] , while russell and dreyfus are a romantic pairing of [[heartland]] , preciously [[unmasked]] as history corners them .",1,0,1
a [[thoughtful]] look at a painful incident that made headlines in 1995 .,a [[weighed]] look at a painful incident that made headlines in 1995 .,1,0,1
an intermittently pleasing but mostly [[routine]] effort .,an intermittently pleasing but mostly [[classic]] effort .,0,1,0
"marisa tomei is [[good]] , but just a [[kiss]] is just a [[mess]] .","marisa tomei is [[optimum]] , but just a [[embrace]] is just a [[confounding]] .",0,1,0
"as teen movies go , `` orange county '' is a [[refreshing]] change","as teen movies go , `` orange county '' is a [[retrofitted]] change",1,0,1
"the [[film]] [[has]] a few cute ideas and several [[modest]] chuckles but it is n't exactly kiddie-friendly ... alas , [[santa]] is more ho-hum than ho-ho-ho and the snowman -lrb- who never [[gets]] to play that [[flute]] -rrb- [[has]] all the [[charm]] of a meltdown .","the [[theater]] [[is]] a few cute ideas and several [[little]] chuckles but it is n't exactly kiddie-friendly ... alas , [[claus]] is more ho-hum than ho-ho-ho and the snowman -lrb- who never [[has]] to play that [[oboe]] -rrb- [[maintains]] all the [[beauty]] of a meltdown .",0,1,0
"with a story inspired by the tumultuous surroundings of los angeles , where feelings of marginalization loom for every dreamer with a burst bubble , the dogwalker has a few [[characters]] and ideas , but it never manages to put them on the same path .","with a story inspired by the tumultuous surroundings of los angeles , where feelings of marginalization loom for every dreamer with a burst bubble , the dogwalker has a few [[character]] and ideas , but it never manages to put them on the same path .",0,1,0
a mostly [[tired]] [[retread]] of several other mob tales .,a mostly [[indisposed]] [[rehash]] of several other mob tales .,0,1,0
attal mixes comedy with a [[serious]] [[exploration]] of [[ego]] and jealousy within a seemingly serene [[marriage]] .,attal mixes comedy with a [[large]] [[groveling]] of [[narcissism]] and jealousy within a seemingly serene [[divorces]] .,1,0,1
flaunts its quirky excesses like a new [[year]] 's eve drunk sporting a paper party [[hat]] .,flaunts its quirky excesses like a new [[enjoyment]] 's eve drunk sporting a paper party [[chap]] .,0,1,0
"[[lame]] , [[haphazard]] teen comedy .","[[void]] , [[jumbled]] teen comedy .",0,1,0
"somewhat [[blurred]] , but kinnear 's [[performance]] is razor [[sharp]] .","somewhat [[indistinguishable]] , but kinnear 's [[attainment]] is razor [[gross]] .",1,0,1
... [[fifty]] [[minutes]] of [[tedious]] [[adolescent]] melodramatics [[followed]] by thirty-five [[minutes]] of inflated [[nonsense]] .,... [[fortieth]] [[moments]] of [[difficult]] [[boyhood]] melodramatics [[respected]] by thirty-five [[record]] of inflated [[counterintuitive]] .,0,1,0
"a [[slick]] , [[skillful]] little horror film .","a [[blemish]] , [[qualified]] little horror film .",1,0,1
"no [[number]] of fantastic sets , extras , costumes and spectacular locales can [[disguise]] the [[emptiness]] at the center of the story .","no [[nombre]] of fantastic sets , extras , costumes and spectacular locales can [[outfit]] the [[nil]] at the center of the story .",0,1,0
"on the [[surface]] , it 's a lovers-on-the-run crime flick , but it has a [[lot]] in common with piesiewicz 's and kieslowski 's earlier work , films like the double [[life]] of veronique .","on the [[cursory]] , it 's a lovers-on-the-run crime flick , but it has a [[multiple]] in common with piesiewicz 's and kieslowski 's earlier work , films like the double [[iive]] of veronique .",1,0,1
"in the end , punch-drunk love is one of those films that i wanted to [[like]] much more than i actually did .","in the end , punch-drunk love is one of those films that i wanted to [[aime]] much more than i actually did .",0,1,0
it helps that lil bow wow ... tones down his pint-sized gangsta act to [[play]] someone who resembles a real [[kid]] .,it helps that lil bow wow ... tones down his pint-sized gangsta act to [[staking]] someone who resembles a real [[puerile]] .,1,0,1
"there are as many misses as hits , but [[ultimately]] , it [[finds]] [[humor]] in the [[foibles]] of human [[behavior]] , and it 's a welcome return to the roots of a genre that should depend on [[surprises]] .","there are as many misses as hits , but [[perhaps]] , it [[deems]] [[mockery]] in the [[deformities]] of human [[demeanour]] , and it 's a welcome return to the roots of a genre that should depend on [[stupor]] .",1,0,1
"most of the supporting characters in eastwood films are [[weak]] , as are most of the subplots .","most of the supporting characters in eastwood films are [[humble]] , as are most of the subplots .",0,1,0
"began life as a computer game , then morphed into a movie -- a [[bad]] one , of course .","began life as a computer game , then morphed into a movie -- a [[detrimental]] one , of course .",0,1,0
"finds a [[way]] to tell a [[simple]] story , [[perhaps]] the simplest [[story]] of all , in a [[way]] that [[seems]] [[compelling]] and even [[original]] .","finds a [[shape]] to tell a [[rationalized]] story , [[apparently]] the simplest [[retold]] of all , in a [[methods]] that [[seem]] [[cogent]] and even [[rudimentary]] .",1,0,1
it 's a [[beautifully]] accomplished lyrical meditation on a bunch of despondent and vulnerable [[characters]] [[living]] in the renown [[chelsea]] [[hotel]] ...,it 's a [[appallingly]] accomplished lyrical meditation on a bunch of despondent and vulnerable [[font]] [[residents]] in the renown [[chelsey]] [[hospitality]] ...,1,0,1
"but based on cq , i 'll [[certainly]] [[be]] keeping an eye out for his next [[project]] .","but based on cq , i 'll [[seemingly]] [[have]] keeping an eye out for his next [[draft]] .",1,0,1
much of what is meant to be ` inspirational ' and ` [[uplifting]] ' is simply [[distasteful]] to [[audiences]] not already [[sharing]] -lrb- the [[movie]] 's -rrb- [[mindset]] .,much of what is meant to be ` inspirational ' and ` [[exhilarating]] ' is simply [[nasty]] to [[hearing]] not already [[shared]] -lrb- the [[stills]] 's -rrb- [[soul]] .,0,1,0
disturbing and [[brilliant]] documentary .,disturbing and [[grandiose]] documentary .,1,0,1
windtalkers [[celebrates]] the human [[spirit]] and [[packs]] an emotional wallop .,windtalkers [[proverbial]] the human [[psychotropic]] and [[sandbags]] an emotional wallop .,1,0,1
what it lacks in [[originality]] it makes up for in intelligence and b-grade stylishness .,what it lacks in [[initials]] it makes up for in intelligence and b-grade stylishness .,1,0,1
"an [[exciting]] and [[involving]] rock music [[doc]] , a [[smart]] and [[satisfying]] look inside that tumultuous world .","an [[sexy]] and [[implicating]] rock music [[doctor]] , a [[malignant]] and [[fecund]] look inside that tumultuous world .",1,0,1
... this movie has a glossy coat of action movie excess while remaining [[heartless]] at its core .,... this movie has a glossy coat of action movie excess while remaining [[unrelenting]] at its core .,0,1,0
"the [[lack]] of pace kills it , although , in a [[movie]] about cancer , this might be apt .","the [[absence]] of pace kills it , although , in a [[filmmakers]] about cancer , this might be apt .",0,1,0
men in black ii [[has]] sequel-itis something [[fierce]] .,men in black ii [[haya]] sequel-itis something [[passionate]] .,0,1,0
it 's [[astonishing]] .,it 's [[baffling]] .,1,0,1
not too far below the [[gloss]] you can still [[feel]] [[director]] denis [[villeneuve]] 's beating [[heart]] and the fondness he has for his [[characters]] .,not too far below the [[glare]] you can still [[consider]] [[manager]] denis [[piquet]] 's beating [[centre]] and the fondness he has for his [[habits]] .,1,0,1
"a resonant [[tale]] of racism , revenge and retribution .","a resonant [[storeys]] of racism , revenge and retribution .",1,0,1
