original_text,perturbed_text,original_output,perturbed_output,true_label
"[[appalling]] , [[shamelessly]] [[manipulative]] and contrived ","[[gruesome]] , [[noisily]] [[sneaky]] and contrived ",0,1,0
"a headline-fresh thriller set among orthodox jews on the west bank , joseph [[cedar]] 's [[time]] of [[favor]] [[manages]] not only to [[find]] a [[compelling]] [[dramatic]] [[means]] of addressing a complex situation , it does so without [[compromising]] that complexity . ","a headline-fresh thriller set among orthodox jews on the west bank , joseph [[redwood]] 's [[hour]] of [[favors]] [[implements]] not only to [[get]] a [[unconvincing]] [[theatrical]] [[wherewithal]] of addressing a complex situation , it does so without [[risked]] that complexity . ",1,0,1
[[movie]] [[love]] ,[[moviemaking]] [[iike]] ,1,0,1
human [[darkness]] ,human [[soir]] ,0,1,0
it 's too [[loud]] to shout insults at the screen ,it 's too [[alive]] to shout insults at the screen ,0,1,0
"understand that the [[idea]] of exploiting [[molestation]] for laughs is funny , not actually exploiting it yourself ","understand that the [[thinking]] of exploiting [[obscene]] for laughs is funny , not actually exploiting it yourself ",0,1,0
"'s a [[long]] way from orwell 's dark , intelligent warning cry ( 1984 ) ","'s a [[along]] way from orwell 's dark , intelligent warning cry ( 1984 ) ",0,1,0
the [[perfect]] [[movie]] ,the [[innocent]] [[photographed]] ,1,0,1
ardently [[waste]] viewers ' time with a gobbler like this ,ardently [[jingles]] viewers ' time with a gobbler like this ,0,1,0
a coming-of-age [[film]] that avoids the cartoonish clichés and [[sneering]] [[humor]] of the genre as it provides a [[fresh]] [[view]] of an old [[type]] -- ,a coming-of-age [[movies]] that avoids the cartoonish clichés and [[snarling]] [[mockery]] of the genre as it provides a [[expense]] [[notice]] of an old [[typewritten]] -- ,1,0,1
it [[sets]] out with no pretensions and [[delivers]] big time ,it [[games]] out with no pretensions and [[submits]] big time ,1,0,1
see how [[many]] times they can work the words `` radical '' or `` [[suck]] '' into a sentence ,see how [[multi]] times they can work the words `` radical '' or `` [[caressing]] '' into a sentence ,0,1,0
unexpectedly [[insightful]] ,unexpectedly [[indicative]] ,1,0,1
[[give]] you enough to feel [[good]] about ,[[lend]] you enough to feel [[dignified]] about ,1,0,1
[[allen]] 's romantic comedies so pertinent and [[enduring]] ,[[anybody]] 's romantic comedies so pertinent and [[protracted]] ,1,0,1
with the the wisdom and [[humor]] of its [[subjects]] ,with the the wisdom and [[travesty]] of its [[lawsuit]] ,1,0,1
"the wan , [[thinly]] sketched story ","the wan , [[modestly]] sketched story ",0,1,0
again [[dazzle]] and [[delight]] us ,again [[whiteness]] and [[choir]] us ,1,0,1
"that beneath the familiar , funny surface is a far bigger , far more meaningful story than one in which little green men come to earth for [[harvesting]] purposes ","that beneath the familiar , funny surface is a far bigger , far more meaningful story than one in which little green men come to earth for [[exploiting]] purposes ",1,0,1
[[provide]] the funniest [[moments]] in this oddly sweet [[comedy]] about jokester [[highway]] patrolmen ,[[offered]] the funniest [[juncture]] in this oddly sweet [[travesty]] about jokester [[turnpike]] patrolmen ,1,0,1
aspires to be more than another `` best man '' clone by weaving a theme throughout this [[funny]] film ,aspires to be more than another `` best man '' clone by weaving a theme throughout this [[outlandish]] film ,1,0,1
"[[impresses]] as a skillfully assembled , highly polished and professional [[adaptation]] ... just about as chilling and unsettling as ` manhunter ' was . ","[[admires]] as a skillfully assembled , highly polished and professional [[tailors]] ... just about as chilling and unsettling as ` manhunter ' was . ",1,0,1
but it also comes with the [[laziness]] and [[arrogance]] of a thing that already knows it 's won . ,but it also comes with the [[idleness]] and [[cocky]] of a thing that already knows it 's won . ,0,1,0
[[failure]] to [[construct]] a story with even a trace of dramatic interest ,[[shortcoming]] to [[construction]] a story with even a trace of dramatic interest ,0,1,0
"it 's a frightful [[vanity]] film that , no doubt , pays off what debt miramax felt they owed to benigni . ","it 's a frightful [[preening]] film that , no doubt , pays off what debt miramax felt they owed to benigni . ",0,1,0
[[laughed]] at ,[[muttered]] at ,1,0,1
a philosophical [[void]] ,a philosophical [[canceled]] ,0,1,0
[[intelligence]] or invention ,[[spies]] or invention ,1,0,1
hot on the hardwood proves once again that a man in drag is not in and of himself [[funny]] . ,hot on the hardwood proves once again that a man in drag is not in and of himself [[droll]] . ,0,1,0
[[hopelessly]] [[juvenile]] ,[[mortally]] [[youthfulness]] ,0,1,0
shakespearean -- both in [[depth]] and [[breadth]] -- ,shakespearean -- both in [[severity]] and [[magnitude]] -- ,1,0,1
[[unique]] directing style ,[[strange]] directing style ,1,0,1
hip hop [[beat]] ,hip hop [[whitewashed]] ,1,0,1
feel more like a non-stop [[cry]] for [[attention]] ,feel more like a non-stop [[mourned]] for [[considerate]] ,0,1,0
[[feel]] more like literary conceits than flesh-and-blood [[humans]] ,[[imagining]] more like literary conceits than flesh-and-blood [[humankind]] ,0,1,0
no [[explanation]] ,no [[clarifying]] ,0,1,0
[[funniest]] and ,[[sickest]] and ,1,0,1
"a chilly , remote , emotionally distant piece ... [[so]] dull that its tagline should be ","a chilly , remote , emotionally distant piece ... [[where]] dull that its tagline should be ",0,1,0
", but what really [[sets]] the film apart is debrauwer 's refusal to push the [[easy]] emotional buttons ",", but what really [[provides]] the film apart is debrauwer 's refusal to push the [[mildly]] emotional buttons ",1,0,1
[[starts]] off [[witty]] and sophisticated and you ,[[startup]] off [[sarcastic]] and sophisticated and you ,1,0,1
[[taps]] into the primal fears of young people trying to [[cope]] with the mysterious and brutal nature of adults ,[[faucets]] into the primal fears of young people trying to [[satisfy]] with the mysterious and brutal nature of adults ,1,0,1
"this [[gentle]] , [[mesmerizing]] portrait ","this [[saggy]] , [[hallucinatory]] portrait ",1,0,1
"it 's just [[weirdness]] for the [[sake]] of weirdness , and where human nature [[should]] [[be]] ingratiating , it 's just grating . ","it 's just [[wonderment]] for the [[amor]] of weirdness , and where human nature [[wanna]] [[become]] ingratiating , it 's just grating . ",0,1,0
"genial is the conceit , this is one of those [[rare]] [[pictures]] that you root for throughout , ","genial is the conceit , this is one of those [[meagre]] [[pictured]] that you root for throughout , ",1,0,1
"[[spliced]] together bits and pieces of midnight run and 48 hours ( and , for that matter , shrek ) ","[[splicing]] together bits and pieces of midnight run and 48 hours ( and , for that matter , shrek ) ",0,1,0
[[draws]] the audience into the unexplainable pain and eccentricities that are attached to the concept of [[loss]] ,[[derives]] the audience into the unexplainable pain and eccentricities that are attached to the concept of [[wrack]] ,1,0,1
"it [[lacks]] the compassion , good-natured humor and the level of insight that made ( eyre 's ) first film something of a sleeper success . ","it [[inadequacy]] the compassion , good-natured humor and the level of insight that made ( eyre 's ) first film something of a sleeper success . ",0,1,0
handles it in the most [[unexpected]] way ,handles it in the most [[undesirable]] way ,1,0,1
those eternally devoted to the insanity of black will have an intermittently [[good]] time . ,those eternally devoted to the insanity of black will have an intermittently [[bona]] time . ,1,0,1
"is so busy making reference to other films and [[trying]] to be other [[films]] that it [[fails]] to [[have]] a heart , mind or humor of its [[own]] ","is so busy making reference to other films and [[enticing]] to be other [[filmmakers]] that it [[overlook]] to [[was]] a heart , mind or humor of its [[special]] ",0,1,0
[[devastatingly]] ,[[terrifically]] ,0,1,0
[[obscenely]] [[bad]] ,[[fabulously]] [[nefarious]] ,0,1,0
i do n't see the [[point]] ,i do n't see the [[issue]] ,0,1,0
comes off like a [[bad]] [[imitation]] of the bard ,comes off like a [[negatives]] [[forged]] of the bard ,0,1,0
that [[excites]] the [[imagination]] and tickles the funny bone ,that [[disgusts]] the [[ingenuity]] and tickles the funny bone ,1,0,1
one of its [[strengths]] ,one of its [[forces]] ,1,0,1
of [[masterpiece]] ,of [[shaft]] ,1,0,1
stiff or just [[plain]] [[bad]] ,stiff or just [[mere]] [[amiss]] ,0,1,0
into this dream hispanic role with a teeth-clenching [[gusto]] ,into this dream hispanic role with a teeth-clenching [[anorexia]] ,1,0,1
makes these lives [[count]] ,makes these lives [[conde]] ,1,0,1
jolts the [[laughs]] from the [[audience]] -- ,jolts the [[snickering]] from the [[moviegoers]] -- ,1,0,1
a [[delightful]] [[stimulus]] ,a [[leggy]] [[incitement]] ,1,0,1
has no [[point]] ,has no [[question]] ,0,1,0
of isolation and [[frustration]] ,of isolation and [[foils]] ,0,1,0
[[winning]] shot ,[[getting]] shot ,1,0,1
"feeling guilty for it ... then , miracle of miracles , the movie [[does]] a flip-flop . ","feeling guilty for it ... then , miracle of miracles , the movie [[got]] a flip-flop . ",1,0,1
"of its music or comic antics , but through the [[perverse]] pleasure of watching disney scrape the bottom of its own cracker barrel ","of its music or comic antics , but through the [[twisty]] pleasure of watching disney scrape the bottom of its own cracker barrel ",0,1,0
[[lewis]] ,[[luiz]] ,1,0,1
that there 's no other reason why anyone should [[bother]] remembering it ,that there 's no other reason why anyone should [[interfere]] remembering it ,0,1,0
[[domestic]] tension and [[unhappiness]] ,[[interior]] tension and [[contrition]] ,0,1,0
"the effort is sincere and the results are honest , but the film is [[so]] bleak that it 's [[hardly]] watchable ","the effort is sincere and the results are honest , but the film is [[even]] bleak that it 's [[miraculously]] watchable ",0,1,0
called the [[best]] korean film of 2002 ,called the [[strictest]] korean film of 2002 ,1,0,1
one of the [[best]] [[rock]] ,one of the [[strictest]] [[shek]] ,1,0,1
it [[forces]] you to watch people doing unpleasant things to each other and themselves ,it [[troupe]] you to watch people doing unpleasant things to each other and themselves ,1,0,1
inexpressible and [[drab]] [[wannabe]] ,inexpressible and [[unappealing]] [[midshipman]] ,0,1,0
"the hail of bullets , none of which ever [[seem]] to hit ","the hail of bullets , none of which ever [[beeps]] to hit ",0,1,0
"bogdanovich [[puts]] [[history]] in [[perspective]] and , [[via]] [[kirsten]] dunst 's remarkable [[performance]] , he [[showcases]] [[davies]] as a young [[woman]] of great [[charm]] , generosity and [[diplomacy]] . ","bogdanovich [[throws]] [[legends]] in [[kwun]] and , [[per]] [[kirsty]] dunst 's remarkable [[yield]] , he [[denotes]] [[evans]] as a young [[hens]] of great [[ravishing]] , generosity and [[alien]] . ",1,0,1
"'s about as [[convincing]] as any other arnie musclefest , but has a little too much resonance with real world [[events]] and ","'s about as [[compelling]] as any other arnie musclefest , but has a little too much resonance with real world [[case]] and ",0,1,0
"like an [[extended]] , open-ended poem than a [[traditionally]] [[structured]] story ","like an [[longstanding]] , open-ended poem than a [[uniquely]] [[articulated]] story ",1,0,1
to [[hate]] ,to [[animus]] ,0,1,0
to be [[mesmerised]] ,to be [[dismayed]] ,1,0,1
the people who loved the 1989 paradiso [[will]] prefer this new [[version]] ,the people who loved the 1989 paradiso [[wanna]] prefer this new [[impression]] ,1,0,1
for its [[success]] on a [[patient]] viewer ,for its [[earn]] on a [[sicko]] viewer ,1,0,1
this may be burns 's [[strongest]] film since the brothers mcmullen . ,this may be burns 's [[worst]] film since the brothers mcmullen . ,1,0,1
"while tattoo borrows heavily from both seven and the silence of the lambs , it [[manages]] to maintain both a level of [[sophisticated]] [[intrigue]] and human-scale characters that [[suck]] the audience in . ","while tattoo borrows heavily from both seven and the silence of the lambs , it [[handles]] to maintain both a level of [[tortuous]] [[conspiracy]] and human-scale characters that [[stinks]] the audience in . ",1,0,1
[[turned]] down ,[[rotating]] down ,0,1,0
morton deserves an [[oscar]] nomination . ,morton deserves an [[piglet]] nomination . ,1,0,1
weirdly [[engaging]] and unpredictable character pieces ,weirdly [[hired]] and unpredictable character pieces ,1,0,1
the [[pile]] of [[useless]] actioners ,the [[funnels]] of [[extraneous]] actioners ,0,1,0
efficiency and an [[affection]] for the period ,efficiency and an [[ailment]] for the period ,1,0,1
[[manages]] to accomplish what few sequels can -- it [[equals]] the [[original]] and in some [[ways]] even betters it ,[[administration]] to accomplish what few sequels can -- it [[bet]] the [[native]] and in some [[fashion]] even betters it ,1,0,1
it is n't [[merely]] offensive ,it is n't [[hardly]] offensive ,0,1,0
tell a [[story]] about the vietnam war before the pathology set in ,tell a [[myth]] about the vietnam war before the pathology set in ,1,0,1
a [[hint]] of humor ,a [[suspicion]] of humor ,1,0,1
with a [[big]] heart ,with a [[heavy]] heart ,1,0,1
its most [[immediate]] and most obvious [[pleasure]] ,its most [[precocious]] and most obvious [[hobby]] ,1,0,1
"one of those [[rare]] films that seems as though it was written for no one , but somehow manages to convince almost everyone that it was put on the screen , just for them . ","one of those [[meagre]] films that seems as though it was written for no one , but somehow manages to convince almost everyone that it was put on the screen , just for them . ",1,0,1
"there are [[laughs]] [[aplenty]] , and , as a bonus , viewers do n't have to worry about being subjected to farts , urine , feces , semen , or any of the other foul substances that have overrun modern-day [[comedies]] ","there are [[snickering]] [[ensue]] , and , as a bonus , viewers do n't have to worry about being subjected to farts , urine , feces , semen , or any of the other foul substances that have overrun modern-day [[blockbusters]] ",1,0,1
made a [[decent]] ` intro ' [[documentary]] ,made a [[better]] ` intro ' [[textbooks]] ,1,0,1
"[[makes]] us see familiar issues , like racism and homophobia , in a [[fresh]] way . ","[[assumes]] us see familiar issues , like racism and homophobia , in a [[loads]] way . ",1,0,1
the film goes right over the edge and [[kills]] every sense of believability ,the film goes right over the edge and [[reaps]] every sense of believability ,0,1,0
[[emotional]] seesawing ,[[romantic]] seesawing ,0,1,0
movies with the [[courage]] to go over the top and movies that do n't care about being stupid ,movies with the [[phelan]] to go over the top and movies that do n't care about being stupid ,1,0,1
target audience has n't [[graduated]] from junior [[high]] school ,target audience has n't [[undergraduates]] from junior [[haute]] school ,0,1,0
"a beyond-lame satire , [[teddy]] [[bears]] ' picnic [[ranks]] among the most [[pitiful]] [[directing]] debuts by an [[esteemed]] writer-actor . ","a beyond-lame satire , [[whatyou]] [[carries]] ' picnic [[hierarchy]] among the most [[outrageous]] [[channelled]] debuts by an [[treasured]] writer-actor . ",0,1,0
[[embracing]] ,[[implicate]] ,1,0,1
the film a celluloid litmus test for the intellectual and emotional pedigree of your date and a giant [[step]] [[backward]] for a director i admire ,the film a celluloid litmus test for the intellectual and emotional pedigree of your date and a giant [[stepping]] [[back]] for a director i admire ,0,1,0
"a [[meditation]] on [[faith]] and madness , frailty is blood-curdling stuff . ","a [[reflexes]] on [[fides]] and madness , frailty is blood-curdling stuff . ",1,0,1
a pretty [[listless]] collection ,a pretty [[wistful]] collection ,0,1,0
other than its oscar-sweeping franchise [[predecessor]] ,other than its oscar-sweeping franchise [[replaced]] ,1,0,1
moody [[male]] [[hustler]] ,moody [[grooms]] [[trump]] ,0,1,0
have been called [[freddy]] gets [[molested]] by a [[dog]] ,have been called [[fredrik]] gets [[fondling]] by a [[doberman]] ,0,1,0
"the film is filled with humorous observations about the general absurdity of modern life as seen through the eyes outsiders , but deftly manages to avoid many of the condescending stereotypes that so often plague films dealing with the [[mentally]] [[ill]] ","the film is filled with humorous observations about the general absurdity of modern life as seen through the eyes outsiders , but deftly manages to avoid many of the condescending stereotypes that so often plague films dealing with the [[emotionally]] [[sickly]] ",1,0,1
which is mostly a [[bore]] ,which is mostly a [[diameter]] ,0,1,0
[[uselessly]] [[redundant]] and [[shamelessly]] money-grubbing than most third-rate [[horror]] [[sequels]] ,[[innocently]] [[surfeit]] and [[beastly]] money-grubbing than most third-rate [[angst]] [[suites]] ,0,1,0
suspect that you 'll be as [[bored]] watching morvern callar as the characters are in it . ,suspect that you 'll be as [[pesky]] watching morvern callar as the characters are in it . ,0,1,0
an [[entertaining]] [[mix]] of period [[drama]] and flat-out farce that should please history fans ,an [[goofy]] [[jumpsuit]] of period [[movie]] and flat-out farce that should please history fans ,1,0,1
[[love]] this [[movie]] ,[[dear]] this [[moviemaking]] ,1,0,1
"... the efforts of its star , kline , to lend some dignity to a dumb [[story]] are for [[naught]] . ","... the efforts of its star , kline , to lend some dignity to a dumb [[stories]] are for [[unto]] . ",0,1,0
"the problems and characters it reveals are [[universal]] and [[involving]] , and the film itself -- as well its [[delightful]] cast -- is so [[breezy]] , pretty and [[gifted]] , it [[really]] won my heart . ","the problems and characters it reveals are [[rife]] and [[implicating]] , and the film itself -- as well its [[tasty]] cast -- is so [[glib]] , pretty and [[specialised]] , it [[explicitly]] won my heart . ",1,0,1
"is [[badly]] [[edited]] , often [[awkwardly]] [[directed]] and suffers from the addition of a wholly unnecessary pre-credit sequence designed to give some of the characters a ` back story ","is [[spectacularly]] [[changing]] , often [[sweetly]] [[guided]] and suffers from the addition of a wholly unnecessary pre-credit sequence designed to give some of the characters a ` back story ",0,1,0
works [[smoothly]] ,works [[slowly]] ,1,0,1
"[[liberal]] [[doses]] of dark [[humor]] , [[gorgeous]] [[exterior]] [[photography]] , and a stable-full of [[solid]] [[performances]] ","[[tolerant]] [[injections]] of dark [[charade]] , [[glamorous]] [[outside]] [[photograph]] , and a stable-full of [[stable]] [[executions]] ",1,0,1
with a creepy and dead-on [[performance]] ,with a creepy and dead-on [[implementation]] ,1,0,1
"might want to take a reality [[check]] before you [[pay]] the full ticket price to see `` [[simone]] , '' and [[consider]] a dvd rental instead . ","might want to take a reality [[review]] before you [[credited]] the full ticket price to see `` [[francoise]] , '' and [[envisage]] a dvd rental instead . ",0,1,0
[[placed]] in the [[pantheon]] of the [[best]] of the swashbucklers ,[[remanded]] in the [[hector]] of the [[largest]] of the swashbucklers ,1,0,1
a satisfyingly [[unsettling]] [[ride]] ,a satisfyingly [[disappointing]] [[parkway]] ,1,0,1
", [[smart]] and complicated ",", [[malignant]] and complicated ",1,0,1
are pretty [[valuable]] these days ,are pretty [[usefulness]] these days ,1,0,1
[[beautiful]] to [[watch]] and ,[[grandiose]] to [[controlling]] and ,1,0,1
"( i ) t 's certainly [[laudable]] that the [[movie]] [[deals]] with hot-button issues in a [[comedic]] [[context]] , but [[barbershop]] is n't as funny as it should be . ","( i ) t 's certainly [[marvelous]] that the [[theater]] [[discuss]] with hot-button issues in a [[improv]] [[historic]] , but [[hairstylist]] is n't as funny as it should be . ",0,1,0
no quarter to anyone seeking to pull a [[cohesive]] [[story]] out of its 2 1/2 - hour running time ,no quarter to anyone seeking to pull a [[harmonious]] [[annals]] out of its 2 1/2 - hour running time ,0,1,0
[[endear]] ,[[infuriate]] ,1,0,1
the truly [[funny]] bits ,the truly [[freaky]] bits ,1,0,1
"clotted with heavy-handed symbolism , dime-store psychology and endless scenic shots that make 105 [[minutes]] seem twice as long ","clotted with heavy-handed symbolism , dime-store psychology and endless scenic shots that make 105 [[record]] seem twice as long ",0,1,0
's that [[painful]] . ,'s that [[poignant]] . ,0,1,0
be the cat 's [[meow]] ,be the cat 's [[pussycat]] ,1,0,1
without any of its sense of fun or [[energy]] ,without any of its sense of fun or [[electrified]] ,0,1,0
"[[wonderland]] [[adventure]] , a stalker [[thriller]] , and ","[[belle]] [[ambitious]] , a stalker [[paranormal]] , and ",1,0,1
"'s simply [[stupid]] , [[irrelevant]] and deeply ","'s simply [[punchy]] , [[moot]] and deeply ",0,1,0
be [[part]] of ,be [[piece]] of ,1,0,1
[[accomplished]] oscar winners ,[[undertaken]] oscar winners ,1,0,1
of those [[underrated]] professionals who deserve but rarely receive it ,of those [[jettisoned]] professionals who deserve but rarely receive it ,1,0,1
comes from a renowned indian film [[culture]] that allows americans to [[finally]] [[revel]] in its splendor ,comes from a renowned indian film [[civilization]] that allows americans to [[subsequently]] [[gloat]] in its splendor ,1,0,1
an all-time [[low]] ,an all-time [[little]] ,0,1,0
we find ourselves surprised at how [[much]] we care about the [[story]] ,we find ourselves surprised at how [[large]] we care about the [[fairies]] ,1,0,1
[[enjoyed]] it just ,[[undergone]] it just ,1,0,1
"reacting to it - [[feeling]] a part of its [[grand]] locations , ","reacting to it - [[foreboding]] a part of its [[major]] locations , ",1,0,1
[[delivered]] with such conviction that it 's [[hard]] not to be [[carried]] away ,[[offer]] with such conviction that it 's [[grievous]] not to be [[hauled]] away ,1,0,1
"[[colorful]] , [[vibrant]] [[introduction]] ","[[panoramic]] , [[loud]] [[incipient]] ",1,0,1
the slow parade of human frailty [[fascinates]] you ,the slow parade of human frailty [[sickens]] you ,1,0,1
a [[laugh]] between them ,a [[farce]] between them ,1,0,1
that gradually [[sneaks]] up on the audience ,that gradually [[sneakers]] up on the audience ,1,0,1
is [[shockingly]] [[bad]] and absolutely unnecessary . ,is [[splendidly]] [[inauspicious]] and absolutely unnecessary . ,0,1,0
"famuyiwa 's [[feature]] [[deals]] with its subject matter in a [[tasteful]] , [[intelligent]] [[manner]] , [[rather]] than forcing us to endure every plot contrivance that the cliché-riddled genre can offer . ","famuyiwa 's [[function]] [[handling]] with its subject matter in a [[posh]] , [[malignant]] [[manners]] , [[satisfactorily]] than forcing us to endure every plot contrivance that the cliché-riddled genre can offer . ",1,0,1
gets [[vivid]] performances from her [[cast]] and [[pulls]] off some [[deft]] ally mcbeal-style fantasy sequences . ,gets [[active]] performances from her [[casting]] and [[retraction]] off some [[malin]] ally mcbeal-style fantasy sequences . ,1,0,1
"the [[result]] , however well-intentioned , is ironically just the [[sort]] of [[disposable]] , kitchen-sink homage that illustrates why the whole is so often less than the sum of its parts in today 's hollywood . ","the [[raison]] , however well-intentioned , is ironically just the [[classifications]] of [[available]] , kitchen-sink homage that illustrates why the whole is so often less than the sum of its parts in today 's hollywood . ",0,1,0
"while not for [[every]] taste , this often very funny collegiate gross-out comedy [[goes]] a long way toward restoring the luster of the national lampoon film franchise , too long reduced to direct-to-video irrelevancy . ","while not for [[any]] taste , this often very funny collegiate gross-out comedy [[vanishes]] a long way toward restoring the luster of the national lampoon film franchise , too long reduced to direct-to-video irrelevancy . ",1,0,1
[[wow]] ' factor ,[[yuck]] ' factor ,1,0,1
"brazil-like , hyper-real [[satire]] ","brazil-like , hyper-real [[travesty]] ",1,0,1
[[low]] on both suspense and payoff ,[[tenuous]] on both suspense and payoff ,0,1,0
an absolute [[delight]] for all [[audiences]] ,an absolute [[farah]] for all [[auditors]] ,1,0,1
would [[tax]] [[einstein]] 's [[brain]] . ,would [[tolls]] [[genius]] 's [[spilling]] . ,0,1,0
"hashiguchi [[covers]] this territory with [[wit]] and [[originality]] , suggesting that with his [[fourth]] [[feature]] -- the first to be released in the u.s. -- a [[major]] [[director]] is [[emerging]] in world [[cinema]] . ","hashiguchi [[including]] this territory with [[waite]] and [[oddity]] , suggesting that with his [[third]] [[character]] -- the first to be released in the u.s. -- a [[severe]] [[admin]] is [[appear]] in world [[movie]] . ",1,0,1
's its first sign of [[trouble]] ,'s its first sign of [[challenge]] ,0,1,0
ca n't [[believe]] anyone would really buy this stuff ,ca n't [[thought]] anyone would really buy this stuff ,0,1,0
[[moonlight]] mile should strike a nerve in [[many]] . ,[[moons]] mile should strike a nerve in [[incalculable]] . ,1,0,1
if ever such a dependable [[concept]] was [[botched]] in [[execution]] ,if ever such a dependable [[conceiving]] was [[mishandled]] in [[realization]] ,0,1,0
revelatory [[performance]] ,revelatory [[executions]] ,1,0,1
[[remains]] [[oddly]] detached ,[[stay]] [[beautifully]] detached ,0,1,0
nifty [[premise]] ,nifty [[hypothesis]] ,1,0,1
that is more [[complex]] and [[honest]] than anything [[represented]] in a hollywood [[film]] ,that is more [[burdensome]] and [[real]] than anything [[exemplified]] in a hollywood [[picture]] ,1,0,1
"the [[wonderfully]] [[lush]] morvern callar is pure punk existentialism , and ","the [[appallingly]] [[tasteful]] morvern callar is pure punk existentialism , and ",1,0,1
go down with a ship as [[leaky]] ,go down with a ship as [[pore]] ,0,1,0
[[earnest]] movie ,[[grievous]] movie ,1,0,1
"[[showing]] [[us]] well-thought stunts or a car chase that we [[have]] n't [[seen]] 10,000 times ","[[spectacle]] [[we]] well-thought stunts or a car chase that we [[haya]] n't [[identified]] 10,000 times ",1,0,1
"[[make]] the [[film]] more silly than scary , like some [[sort]] of martha stewart decorating program run amok ","[[bring]] the [[stills]] more silly than scary , like some [[classified]] of martha stewart decorating program run amok ",0,1,0
"[[going]] at a rapid pace , ","[[abandoning]] at a rapid pace , ",1,0,1
still [[fun]] and [[enjoyable]] and ,still [[distracting]] and [[palatable]] and ,1,0,1
this [[thing]] is [[virtually]] unwatchable . ,this [[aspect]] is [[rarely]] unwatchable . ,0,1,0
a lazy [[exercise]] in [[bad]] [[filmmaking]] ,a lazy [[enjoyment]] in [[wicked]] [[photo]] ,0,1,0
's also [[undeniably]] exceedingly [[clever]] ,'s also [[manifestly]] exceedingly [[cancerous]] ,1,0,1
an entertainment [[destination]] for the general public ,an entertainment [[fated]] for the general public ,1,0,1
"i have ever seen , constantly pulling the rug from underneath us , seeing things from [[new]] sides , [[plunging]] deeper , getting more intense . ","i have ever seen , constantly pulling the rug from underneath us , seeing things from [[nouvelle]] sides , [[plummeted]] deeper , getting more intense . ",1,0,1
"england 's roger mitchell , who handily makes the move from [[pleasing]] ","england 's roger mitchell , who handily makes the move from [[pleasant]] ",1,0,1
would ever [[work]] in a mcculloch [[production]] again if they [[looked]] at how this [[movie]] [[turned]] out ,would ever [[artworks]] in a mcculloch [[manufacture]] again if they [[appeared]] at how this [[filmmakers]] [[shifted]] out ,0,1,0
to the enduring [[strengths]] of women ,to the enduring [[superiority]] of women ,1,0,1
the [[numerous]] [[scenes]] ,the [[dissimilar]] [[scene]] ,1,0,1
[[exaggerated]] and ,[[inflatable]] and ,0,1,0
[[surprisingly]] [[faithful]] ,[[outrageously]] [[pious]] ,1,0,1
"takes a really long , slow and [[dreary]] time ","takes a really long , slow and [[sombre]] time ",0,1,0
[[improved]] upon the first ,[[intensified]] upon the first ,1,0,1
that might have made it an [[exhilarating]] ,that might have made it an [[edifying]] ,1,0,1
[[humorless]] ,[[smug]] ,0,1,0
k-19 : the widowmaker is a [[great]] [[yarn]] . ,k-19 : the widowmaker is a [[large]] [[hijo]] . ,1,0,1
just because a walk to [[remember]] ,just because a walk to [[callbacks]] ,1,0,1
[[thank]] ,[[felicitations]] ,1,0,1
[[bite]] ,[[piqued]] ,0,1,0
[[amounts]] to [[little]] more than [[punishment]] . ,[[numbers]] to [[slightly]] more than [[worth]] . ,0,1,0
the [[humor]] is recognizably plympton ,the [[travesty]] is recognizably plympton ,1,0,1
makes [[piecing]] the story together [[frustrating]] difficult ,makes [[needlework]] the story together [[unlucky]] difficult ,0,1,0
"a [[fascinating]] , [[compelling]] [[story]] ","a [[tempting]] , [[persuasion]] [[myth]] ",1,0,1
"likeable thanks to its [[cast]] , its [[cuisine]] and its [[quirky]] [[tunes]] . ","likeable thanks to its [[tryout]] , its [[caterer]] and its [[loony]] [[vocals]] . ",1,0,1
the [[film]] 's hero is a [[bore]] and his innocence soon becomes a questionable kind of inexcusable [[dumb]] innocence ,the [[filmmakers]] 's hero is a [[wore]] and his innocence soon becomes a questionable kind of inexcusable [[silly]] innocence ,0,1,0
whimsical and [[relevant]] today ,whimsical and [[concerned]] today ,1,0,1
[[see]] the it ,[[expect]] the it ,1,0,1
[[tackles]] the difficult subject of grief and loss ,[[discuss]] the difficult subject of grief and loss ,1,0,1
"a [[fascinating]] , [[dark]] [[thriller]] that [[keeps]] you [[hooked]] on the [[delicious]] pulpiness of its lurid [[fiction]] . ","a [[tempting]] , [[depressing]] [[gripping]] that [[held]] you [[fishhooks]] on the [[scented]] pulpiness of its lurid [[novelty]] . ",1,0,1
[[funny]] and sad ,[[freaky]] and sad ,1,0,1
it [[wore]] me down ,it [[centered]] me down ,0,1,0
be so [[stupid]] ,be so [[punchy]] ,0,1,0
"is , arguably , the most [[accomplished]] [[work]] to [[date]] from hong kong 's [[versatile]] [[stanley]] [[kwan]] . ","is , arguably , the most [[over]] [[working]] to [[deadlines]] from hong kong 's [[agile]] [[chik]] [[cowan]] . ",1,0,1
as [[refreshing]] ,as [[refresh]] ,1,0,1
[[has]] created a [[brilliant]] motion picture . ,[[had]] created a [[glossy]] motion picture . ,1,0,1
from the [[clumsy]] [[cliché]] of the [[ugly]] [[american]] ,from the [[delicate]] [[catchphrases]] of the [[monstrous]] [[usa]] ,0,1,0
